Enough,read,11.85,Roger Thurow,Tavia Gilbert,non-fiction,2012,2013,u,,3 
The Structure of Scientific Revolutions,read,9.18,Thomas S. Kuhn,Dennis Holland,non-fiction,2012,2013,u,,1 
The Darwin Awards II,read,3.18,Wendy Northcutt,Jason Harris,non-fiction,2012,2012,u,The Darwin Awards,1 
Yes!,read,6.55,Noah Goldstein,Clive Mantle,non-fiction,2012,2012,u,,4 
In Deep Water,read,4.42,Peter Lehner,Tom Weiner,non-fiction,2012,2012,u,,5 
This is Not a Drill,read,4.566667,Paul Carter,Paul Carter,non-fiction,2012,2012,u,Memoirs,5 
Is That Thing Diesel,read,5.700000,Paul Carter,Paul Carter,non-fiction,2012,2012,u,Memoirs,5 
On Intelligence,read,9.4,Jeff Hawkins,Jeff Hawkins,non-fiction,2012,2013,u,,4 
Beyond Band of Brothers,read,9.933334,Dick Winters,Tom Weiner,non-fiction,2012,2012,u,WWII,5 
The Conundrum,read,5.66,David Owen,Patrick Lawlor,non-fiction,2012,2012,u,,4 
Going Solo,read,8.66,Eric Klinenberg,Patrick Lawlor,non-fiction,2012,2013,u,,3 
Green Metropolis,read,9.82,David Owen,Patrick Lawlor,non-fiction,2012,2013,u,,3 
The Stars' Tennis Balls,read,10,Stephen Fry,Stephen Fry,fiction,2012,2012,u,,5 
We Are Anonymous,read,14.26,Parmy Olson,Abby Craden,non-fiction,2012,2012,u,,4 
Tough Shit,read,6.000000,Kevin Smith,Kevin Smith,non-fiction,2012,2012,u,Memoirs,5 
When Worlds Collide,read,10.000000,Philip Wylie,Peter Ganim,fiction,2012,2013,u,Worlds Collide,4 
After Worlds Collide,read,9.249999,Philip Wylie,Peter Ganim,fiction,2012,2013,u,Worlds Collide,4 
Monkey Mind,read,7.25,Daniel Smith,Paul Michael Garcia,non-fiction,2012,2012,u,,5 
Who's in Charge,read,8.066667,Michael S. Gazzaniga,Pete Larkin,non-fiction,2012,2013,u,,1 
Maphead,read,10.45,Ken Jennings,Kirby Heyborne,non-fiction,2012,2013,u,,4 
Death by Black Hole,read,12.14,Neil deGrasse Tyson,Dion Graham,non-fiction,2012,2013,u,,4 
Why Is the Penis Shaped Like That,read,6.933333,Jesse Bering,Jesse Bering,non-fiction,2012,2012,u,,5 
Alan Turing The Enigma,read,33.716667,Andrew Hodges,Gordon Griffin,non-fiction,2012,2016,u,WWII,3
Year Zero,read,9.866668,Rob Reid,John Hodgman,fiction,2012,2012,u,,6
